time	V(vout)
Step Information: Run=0  (Run: 1/8)
2.612686350815853e+000	5.951549e-003
2.612687179755682e+000	6.923238e-003
2.612687386990640e+000	7.273822e-003
2.612687801460552e+000	8.277358e-003
2.612688272535376e+000	9.983854e-003
2.612688682868271e+000	1.243023e-002
2.612688980171779e+000	1.546105e-002
2.612689203209321e+000	1.934837e-002
2.612689382815038e+000	2.465908e-002
2.612689536550416e+000	3.239876e-002
2.612689673281182e+000	4.424868e-002
2.612689799630577e+000	6.330717e-002
2.612689922880730e+000	9.601604e-002
2.612690056429965e+000	1.557228e-001
2.612690187977275e+000	2.482355e-001
2.612690363605211e+000	4.178246e-001
2.612690551862240e+000	6.341954e-001
2.612690780030718e+000	9.173784e-001
2.612691054585067e+000	1.265958e+000
2.612691578742439e+000	1.928013e+000
2.612692627057182e+000	3.159278e+000
2.612692817038653e+000	3.280152e+000
2.612693006878260e+000	3.297682e+000
2.612693066712311e+000	3.298142e+000
2.612693125667828e+000	3.298334e+000
2.612693243578868e+000	3.298521e+000
2.612693424453134e+000	3.298685e+000
2.612693786201668e+000	3.298839e+000
2.612694509698731e+000	3.298964e+000
2.612695956692861e+000	3.299047e+000
2.612698850681120e+000	3.299095e+000
2.612716214610675e+000	3.299129e+000
2.612739366516749e+000	3.299131e+000
2.636400614523915e+000	3.299130e+000
2.660108166343228e+000	3.299131e+000
2.700108166343227e+000	3.299131e+000
2.740108166343227e+000	3.299132e+000
2.780108166343226e+000	3.299132e+000
2.820108166343225e+000	3.299132e+000
2.860108166343224e+000	3.299133e+000
2.900108166343223e+000	3.299133e+000
2.980108166343221e+000	3.299132e+000
3.020108166343221e+000	3.299125e+000
3.060108166343220e+000	3.299114e+000
3.065108166343219e+000	3.299104e+000
3.075108166343220e+000	3.299071e+000
3.077295666343218e+000	3.299049e+000
3.079795666343220e+000	3.299001e+000
3.080420666343219e+000	3.298965e+000
3.081670666343218e+000	3.298795e+000
3.081983166343218e+000	3.298679e+000
3.082061291343219e+000	3.298538e+000
3.082217541343219e+000	3.297963e+000
3.082222424155720e+000	3.297912e+000
3.082232189780719e+000	3.297609e+000
3.082251721030719e+000	3.296503e+000
3.082253044946562e+000	3.296307e+000
3.082255692778251e+000	3.295632e+000
3.082256354736174e+000	3.295376e+000
3.082257678652017e+000	3.294665e+000
3.082258009630976e+000	3.294423e+000
3.082258671588900e+000	3.293711e+000
3.082259563137512e+000	3.292272e+000
3.082260131012852e+000	3.290764e+000
3.082260506156000e+000	3.289105e+000
3.082260807897619e+000	3.286969e+000
3.082261050560813e+000	3.284222e+000
3.082261258192776e+000	3.280355e+000
3.082261447531117e+000	3.274369e+000
3.082261609944371e+000	3.265373e+000
3.082261750504571e+000	3.251554e+000
3.082261876447532e+000	3.229600e+000
3.082261999755872e+000	3.191836e+000
3.082262131779540e+000	3.124799e+000
3.082262266917983e+000	3.019571e+000
3.082262474724963e+000	2.804969e+000
3.082262698036146e+000	2.539638e+000
3.082262932879587e+000	2.244453e+000
3.082263275949437e+000	1.807456e+000
3.082263962089137e+000	9.323052e-001
3.082264133624062e+000	7.153429e-001
3.082264476693911e+000	2.906848e-001
3.082264628374102e+000	1.171042e-001
3.082264709446768e+000	4.237765e-002
3.082264745477680e+000	2.181815e-002
3.082264784266190e+000	1.059879e-002
3.082264796318313e+000	8.674077e-003
3.082264816262629e+000	6.854158e-003
3.082264838158814e+000	5.476650e-003
3.082264862847609e+000	4.468495e-003
3.082264896770827e+000	3.582248e-003
3.082264933708544e+000	2.975918e-003
3.082264987347088e+000	2.442421e-003
3.082265050264130e+000	2.067149e-003
3.082265144963699e+000	1.743516e-003
3.082265262578630e+000	1.516684e-003
3.082265447881827e+000	1.325416e-003
3.082265692471200e+000	1.192864e-003
3.082266098917089e+000	1.084457e-003
3.082266669778370e+000	1.011951e-003
3.082267745104325e+000	9.549853e-004
3.082269895756230e+000	9.126001e-004
3.082274197060045e+000	8.864930e-004
3.082282799667670e+000	8.739386e-004
3.082300004882924e+000	8.700009e-004
3.117501875289719e+000	8.692994e-004
3.152738156127018e+000	8.688924e-004
3.192738156127017e+000	8.684662e-004
3.232738156127017e+000	8.680758e-004
3.272738156127016e+000	8.677199e-004
3.312738156127015e+000	8.674013e-004
3.352738156127014e+000	8.671414e-004
3.392738156127013e+000	8.670475e-004
3.432738156127012e+000	8.675777e-004
3.472738156127011e+000	8.705643e-004
3.512738156127011e+000	8.770085e-004
3.514613156127009e+000	8.781131e-004
3.534613156127012e+000	8.963254e-004
3.539613156127011e+000	9.192510e-004
3.549613156127013e+000	1.008594e-003
3.549925656127012e+000	1.019195e-003
3.550706906127012e+000	1.074796e-003
3.551019406127011e+000	1.152790e-003
3.551644406127011e+000	1.435581e-003
3.551663937377011e+000	1.458567e-003
3.551702999877012e+000	1.575223e-003
3.551781124877014e+000	1.995745e-003
3.551794124516452e+000	2.141611e-003
3.551797374426311e+000	2.203774e-003
3.551803874246030e+000	2.413284e-003
3.551816873885468e+000	3.072655e-003
3.551819118042232e+000	3.320410e-003
3.551823606355764e+000	4.144757e-003
3.551824279529210e+000	4.346833e-003
3.551825625876102e+000	4.971601e-003
3.551826695050966e+000	5.697268e-003
3.551827491849881e+000	6.547055e-003
3.551828151527342e+000	7.638672e-003
3.551828617729441e+000	8.853579e-003
3.551829035018862e+000	1.059143e-002
3.551829374404491e+000	1.287275e-002
3.551829635637596e+000	1.576320e-002
3.551829848473744e+000	1.967702e-002
3.551830026699857e+000	2.518267e-002
3.551830180301629e+000	3.327373e-002
3.551830316572620e+000	4.568029e-002
3.551830442481656e+000	6.568503e-002
3.551830565921492e+000	1.000941e-001
3.551830698825285e+000	1.621802e-001
3.551830832147427e+000	2.592872e-001
3.551831015047299e+000	4.398886e-001
3.551831206266531e+000	6.620735e-001
3.551831436676718e+000	9.492298e-001
3.551831724832738e+000	1.315467e+000
3.551832291571987e+000	2.038027e+000
3.551832832267191e+000	2.724664e+000
3.551832967440991e+000	2.891290e+000
3.551833237788593e+000	3.198634e+000
3.551833322770136e+000	3.271360e+000
3.551833354766391e+000	3.285635e+000
3.551833378288077e+000	3.290374e+000
3.551833394836834e+000	3.292361e+000
3.551833415292421e+000	3.293940e+000
3.551833436053247e+000	3.295009e+000
3.551833461508856e+000	3.295872e+000
3.551833497284697e+000	3.296654e+000
3.551833541270636e+000	3.297256e+000
3.551833595290358e+000	3.297700e+000
3.551833672359862e+000	3.298073e+000
3.551833769507564e+000	3.298342e+000
3.551833916251216e+000	3.298566e+000
3.551834110592438e+000	3.298725e+000
3.551834421398461e+000	3.298854e+000
3.551834857613997e+000	3.298944e+000
3.551835601580898e+000	3.299013e+000
3.551836834504574e+000	3.299061e+000
3.551839300351926e+000	3.299096e+000
3.551854095436031e+000	3.299128e+000
3.551873822214841e+000	3.299131e+000
3.572034590157280e+000	3.299130e+000
3.592234811657338e+000	3.299131e+000
3.632234811657337e+000	3.299131e+000
3.672234811657337e+000	3.299132e+000
3.712234811657336e+000	3.299132e+000
3.752234811657335e+000	3.299132e+000
3.792234811657334e+000	3.299133e+000
3.832234811657333e+000	3.299133e+000
3.912234811657331e+000	3.299132e+000
3.992234811657330e+000	3.299117e+000
3.994109811657328e+000	3.299116e+000
4.011609811657330e+000	3.299082e+000
4.014109811657331e+000	3.299064e+000
4.019109811657330e+000	3.298973e+000
4.020359811657329e+000	3.298905e+000
4.020750436657330e+000	3.298851e+000
4.020906686657330e+000	3.298784e+000
4.021219186657330e+000	3.298514e+000
4.021297311657332e+000	3.298347e+000
4.021316842907332e+000	3.298238e+000
4.021355905407333e+000	3.297857e+000
4.021363514100944e+000	3.297683e+000
